Smiles,Standard Value,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_LOGPHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Ipc,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState4,VSA_EState5,VSA_EState8,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAmideBonds,NumBridgeheadAtoms,NumHeterocycles,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,MolLogP,fr_Al_COO,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_C_S,fr_HOCCN,fr_Imine,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_allylic_oxid,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_bicyclic,fr_epoxide,fr_ester,fr_furan,fr_guanido,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_lactone,fr_methoxy,fr_morpholine,fr_nitro,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Maccs,ECFP
CC1(C)OC(=O)C(OC2CCCCC2)=C1c1ccc(S(C)(=O)=O)cc1,40.0,12.372551624044679,0.0374933337532537,-3.2643413803958983,0.7651133032577332,21.32,364.463,0.3744645531344703,-0.4829240783508193,1.08,32.2277462271437,9.912241959355885,2.4316490558913086,2.4104852783225104,-0.1476767299324646,2.7605107350231677,1.9883229554267143,349281.90228101134,9.837253136417502,5.759164871656176,0.0,0.0,13.212334168400758,0.0,0.0,18.55355575984923,57.22694651970551,6.255769183511404,16.572554393335345,21.379662954438615,0.0,0.0,0.0,6.255769183511404,35.588084637199614,0.0,0.0,0.0,0.0,24.10551622808942,0.0,0.0,5.5731045300692665,0.0,16.758614734922254,5.5731045300692665,31.246737983401033,12.676590806437414,24.26546827384644,13.847474399381248,0.0,9.473725907600098,12.6175949978119,0.6161323696145132,-0.17891790280927222,3.6427358119173596,1,1,0,0,1,0,0,3.4859000000000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00000000000000000000000000000000000000000000000000110001011111101011000011101000010100001100010010010010000000001000001000011011111010001100110101111110101001011011110,00100000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000100100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000001001000000000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000101000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000
CCc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,1700.0,11.641862133220705,0.27940057961252096,-3.2316158620280935,0.6792853733051013,11.48,372.87700000000007,0.1750185287560868,-0.2606188089946279,0.96,35.49569200639618,10.000040515044214,2.123725503836878,2.3226561510532506,0.601663644229416,2.610605122544334,2.103234287950684,426677.3012286459,9.837253136417502,0.0,0.0,9.967957041894415,8.417796984328938,0.0,0.0,30.657411226846357,42.316108456931055,35.470287304980005,15.612044784107562,21.43819302665002,0.0,9.967957041894415,0.0,6.255769183511404,65.5748179310472,22.384282469939446,0.0,0.0,0.0,16.25807475934351,0.0,5.022633313741326,22.384282469939446,0.0,4.895483475517775,5.022633313741326,34.49903208771392,6.255769183511404,36.65915541707259,18.19910120538483,16.89169424158504,11.600939890232516,9.16561791567586,4.3287512265411054,0.0,2.052888374185272,0,0,0,0,2,0,0,4.429900000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,00000000000000000000000000000000000000000000000000010001001111101101000001000000110000011000010000100011000100011010000011001100001000101100001011001110000110011111110,00000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000100000000000000000000000000101000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000100000001000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000110000000000000000000000000000000000000000000010000000000000001000000010000000000100000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,50.0,13.229343906754622,0.09733439363399676,-0.3033686973667131,0.3949703706977362,10.89655172413793,413.9010000000001,0.3098453399548763,-0.49674295951739905,1.103448275862069,35.49569182366605,10.079693400601942,2.2202999510429082,2.30649239016921,-0.14243849825540994,2.986947557462791,2.0569868082129035,3521240.788751505,0.0,0.0,5.907179729351506,14.156174015934997,0.0,0.0,0.0,24.94549871284915,61.372579793544894,21.66623701475158,25.65420184633272,34.380349839616926,0.0,4.567099647791355,0.0,13.716679505790452,64.30803377121505,5.749511833283905,4.736862953800049,0.0,5.749511833283905,15.95222176079788,6.923737199690624,5.022633313741326,10.902924932081056,0.0,18.297306640229362,28.636406598083607,29.30801966963007,0.0,42.008732531376936,25.980208536304467,0.0,21.074665797832616,25.591258422063348,2.71319922046804,0.17730359537448348,4.286959710834199,0,0,0,0,1,0,0,5.1860200000000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00000000000000000000000000000000000000000000000000000000000000000100000000010000000101010000110010000101010101100111111001110111110010101100110111111110111111111111110,00000000000001000000000000000000000000000000010000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000001010000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000000000001001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000100000000000010000010010000000000000000000000001000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000100000000000000000000000010000000000010000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000010000000000000
CC(C)CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,4500.0,12.67541288737717,0.024250060363651738,-0.029041727030318265,0.6548094324451377,16.347826086956523,316.4850000000001,0.1623980621150605,-0.49206195912904327,1.2608695652173914,16.484499167949995,9.786155263390048,2.3632464288363075,2.4497899743798395,0.09777511899550555,2.718703316043503,2.3667478647650992,82890.54540285036,5.783244946364939,0.0,0.0,4.794537184071822,0.0,0.0,0.0,54.88698202076037,29.8864522754074,28.526166567413775,6.606881964512918,5.783244946364939,0.0,0.0,5.917906046161393,6.606881964512918,28.823088612014207,5.749511833283905,4.736862953800049,0.0,5.749511833283905,10.829980938793557,5.917906046161393,0.0,0.0,0.0,16.6132258851585,18.94560963360032,29.718058062529913,5.563451491696996,0.0,0.0,60.59889453475759,4.736862953800049,12.67541288737717,3.1558982898715047,1.9196022560258665,16.042467230323922,0,1,0,0,1,0,0,5.663100000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000000000000000000000000000000000000000000000000000010000000010000000100000000100000000000010000100010011001101101000000000000010000100010010010100111101011011110,01000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000000010000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000011000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000100000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000001000000000000000000000000000000000000010000010000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100
COc1ccc2c(c1)c(CC(=O)NCCOC(=O)/C=C/c1ccc(N(C)C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,190.0,13.438530399538333,0.02589075751704817,-0.4975399522712969,0.1576603689120904,11.048780487804878,574.0770000000002,0.3303263240024966,-0.4967429595532013,1.0,35.49569245349805,10.072875392347367,2.217332668434472,2.305470741446732,-0.13765463814788578,3.2381810100370876,1.3903482767016875,1241666208.491381,0.0,5.907179729351506,5.907179729351506,14.156174015934997,4.794537184071822,0.0,0.0,23.733674027155736,78.723963906073,47.524987361623396,25.59207628773238,52.05093595048587,0.0,9.883888251797686,0.0,39.25668960790788,100.21297364359239,5.749511833283905,14.953561288656857,5.687386274683562,5.749511833283905,20.7467589448697,6.923737199690624,5.022633313741326,16.978945038914937,0.0,31.386819452054514,33.10967684288394,16.637061980845353,6.076020106833881,54.151119706672425,56.25082623820353,5.316788604006331,21.074665797832616,40.399878094178504,4.441965916131121,-0.37258957018621874,1.9899084964933644,0,0,1,0,1,0,0,5.281520000000005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00000000000000000000000000000000000000000000000000000000000000000100000000110000001101110000110110011101110101110100111001110111110011111110111111111111111111111111110,00000000000001000000000001000001000000000100010000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000100000000000000000000100000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000001100000000000000000000001000000000000000000100000000000000000000000000000000000000000001000000000000000000000000010000000010000000000000000001000001000000000000000010000000000000000100100100000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100100000000000000000000001000000000000000000000000000000000000000000010000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000110000100000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000001100000000000000000000000010000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000100100000000000000000000010000000000000000000000000001000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000100000000000110000000000000
COc1ccc2c(c1)c(CC(=O)Nc1ncc(C)s1)c(C)n2C(=O)c1ccc(Cl)cc1,4000.0,13.319522863833832,0.10617698622658978,-0.19605388255189826,0.4477773509602413,10.96774193548387,453.95100000000014,0.26209173164620075,-0.49674295955318815,1.1612903225806452,35.4956922462672,10.073791459808756,2.2201531077665595,2.3090279853977194,-0.1151224149618697,3.2772968649756757,1.766204499798553,12322727.97662076,5.131558479839333,5.907179729351506,5.907179729351506,14.156174015934997,4.983978520947208,0.0,11.336785877934735,11.600939890232516,61.87549537030951,32.74022778006596,19.047319881819803,50.786568638790655,0.0,9.551078168738563,0.0,12.426586145283864,75.38202453652943,5.749511833283905,10.05365155780638,5.131558479839333,5.749511833283905,11.21535880699783,13.847474399381248,5.022633313741326,10.902924932081056,0.0,18.23518108162902,32.67778383102628,15.82682289986309,11.336785877934735,48.205576102990015,25.98020853630447,10.300767124953538,16.337802844032566,31.264396035827836,2.6910068406209886,0.2690741400120915,3.7739989715043074,0,0,1,0,2,0,0,5.2463400000000044,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00000000000000000000000000000000000010000000000100000000000000000100000000010100010101011000110011000101111100110100110011100111000011111100011111101111101111111111110,00000000000000000000000000000000000000000100010000000000000010000000000000000000100000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000100000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000100000000000000000000001001000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000010000000000000000000000001000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000000000000000001000000100000000000100000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000100000000000000000000000010000000000000000000000000001000001001000000100000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000010001010000000000000
CC[C@@]1(C)OC(=O)C(OC(C)C)=C1c1ccc(S(C)(=O)=O)cc1,500.0,12.193235439237423,0.16476951583102406,-3.2662105667884433,0.7721199580719614,21.73913043478261,338.42500000000007,0.3744744688005528,-0.48351331349030063,1.2173913043478262,32.22774606452825,9.878112610542539,2.447138006338268,2.423051612347518,-0.14837492908183622,2.6912739625475726,2.5803491629100046,87358.7528242942,9.837253136417502,5.759164871656176,0.0,0.0,13.212334168400758,0.0,0.0,19.056471336613843,44.888218850618095,6.255769183511404,16.572554393335345,21.379662954438615,0.0,0.0,0.0,6.255769183511404,35.588084637199614,0.0,0.0,0.0,0.0,24.10551622808942,0.0,0.0,5.5731045300692665,0.0,16.758614734922254,11.993926152995275,11.819220675208399,12.13273413692322,12.13273413692322,27.694948798762496,0.0,9.473725907600098,12.426218138489963,0.6069251936885873,-0.2762081522423778,7.440856931443376,0,1,0,0,1,0,0,2.9517000000000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00000000000000000000000000000000000000000000000000110001011111101011000011101000010100001100010010010010000000001011000000011011001010001100110100101110101101011011110,01000000000000010000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000000000000000000100001000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000100000100000001000000000000000000000000000100100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000001000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000
COc1cc(OC)cc(OCc2cc(-c3ccccc3)n(-c3ccc(S(C)(=O)=O)cc3)n2)c1,870.0,11.827738124016673,0.22676419333165376,-3.2798125990267697,0.3809626639696743,11.242424242424242,464.5430000000001,0.17502041552064707,-0.4964809365442076,0.8181818181818182,32.22774685327346,10.12867223014659,2.140911275271235,2.2899070455599033,0.294969010474809,3.2670727106939395,1.6736138423473983,33968931.119260736,9.837253136417502,0.0,0.0,0.0,13.099599919474121,5.098681808301038,0.0,30.33183534230805,30.33183534230805,30.01832188059323,30.496392827604865,9.837253136417502,0.0,9.780484743446221,0.0,20.47536426606647,84.55669988484941,34.193301261080734,14.210588861400147,0.0,17.248535499851716,16.44413510093042,0.0,0.0,16.944765761229018,0.0,11.502365440030694,22.942463494700178,16.944765761229018,6.255769183511404,61.36596749693152,36.39820241076966,0.0,19.309270669701185,0.25944093990995043,3.3003699988183226,1.8575525050659643,0.22676419333165376,0,0,0,0,1,0,0,4.539000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00000000000000000000000000000000000000000000000000011001001111101101000001010000110100001100011111000010000001011100000011101111001001011100111111101110110111111111110,00000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000000000100000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000100010000000000000000000000000000000000000100100000000000000000001000000001000000000001000000001000000000000000000000000000000100001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000100000000000000000010000000000000000000000000000001000000000000000000000000101000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000000000000010000010000010000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Cc1cc(=O)c(Oc2ccccc2C)c(-c2ccc(S(C)(=O)=O)cc2)o1,170.02,12.495144925254051,0.06667186318972051,-3.3059804650165847,0.6906045015850948,11.346153846153847,370.4260000000001,0.2278193999466806,-0.4571571935839318,0.9615384615384616,32.22774628645997,10.121705525133343,2.1718811098478104,2.326383002048054,0.4361091021262823,2.578402000041202,2.124847087924241,569197.7119210955,15.597500555291944,11.178302225184446,0.0,4.794537184071822,8.417796984328938,0.0,0.0,18.19910120538483,49.74276123338629,17.88558774367001,4.895483475517775,9.837253136417502,0.0,0.0,0.0,6.255769183511404,76.1443301026983,22.822722577139245,10.16565334570059,0.0,11.49902366656781,9.837253136417502,13.847474399381248,0.0,11.323698910571437,0.0,21.834033119576663,17.07321074385534,11.819220675208399,18.19910120538483,25.122838405075452,25.122838405075456,0.0,9.154013890853395,12.687387689771347,1.1313204930541243,1.3215667385781478,3.55459947903761,0,0,0,0,1,0,0,4.119440000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,00000000000000000000000000000000000000000000000000010001011111101001000011000000010000001100010000100010000000001100000000001111001000001100110111101110101001011011110,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000100001000000000000010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000000000000000000000100100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000100000000000000000000000000010000000000101000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010100000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000010000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000000000000000000001000000000000000000000000000010000000000000000000
